question,answer,is_correct
What nationality was Benedetto Varchi?,Italian,True
What nationality was Benedetto Varchi?,Greek.,False
What nationality was Benedetto Varchi?,French.,False
What nationality was Benedetto Varchi?,Croatian.,False
What nationality was Benedetto Varchi?,Portuguese.,False
What nationality was Benedetto Varchi?,Hungarian.,False
What nationality was Benedetto Varchi?,Swiss.,False
What nationality was Benedetto Varchi?,Dutch.,False
What nationality was Benedetto Varchi?,Macedonian.,False
What nationality was Benedetto Varchi?,Austrian.,False
What professions did Benedetto Varchi have?,"Humanist, historian, poet",True
What professions did Benedetto Varchi have?,"Musicologist, diplomat, architect.",False
What professions did Benedetto Varchi have?,"Astronomer, engineer.",False
What professions did Benedetto Varchi have?,"Musicologist, philosopher, sculptor.",False
What professions did Benedetto Varchi have?,Architect and engineer.,False
What professions did Benedetto Varchi have?,Chess player and engineer.,False
What professions did Benedetto Varchi have?,"Aeronautical Engineer, Diplomat.",False
What professions did Benedetto Varchi have?,Philosopher and diplomat.,False
What professions did Benedetto Varchi have?,"Cartographer, diplomat, engineer.",False
What professions did Benedetto Varchi have?,Astronomer and diplomat.,False
Where was Benedetto Varchi born?,Florence,True
Where was Benedetto Varchi born?,Pisa.,False
Where was Benedetto Varchi born?,Siena.,False
Where was Benedetto Varchi born?,Milan.,False
Where was Benedetto Varchi born?,Venice.,False
Where was Benedetto Varchi born?,Bologna.,False
Where was Benedetto Varchi born?,Vienna.,False
Where was Benedetto Varchi born?,Naples.,False
Where was Benedetto Varchi born?,Padua.,False
Where was Benedetto Varchi born?,Rome.,False
Who commissioned Benedetto Varchi to write a history of Florence?,Cosimo I,True
Who commissioned Benedetto Varchi to write a history of Florence?,Lorenzo de' Medici.,False
Who commissioned Benedetto Varchi to write a history of Florence?,The Pope.,False
Who commissioned Benedetto Varchi to write a history of Florence?,The Duke of Ferrara.,False
Who commissioned Benedetto Varchi to write a history of Florence?,Pope Leo X.,False
Who commissioned Benedetto Varchi to write a history of Florence?,Pope Clement VII.,False
Who commissioned Benedetto Varchi to write a history of Florence?,Giovanni de' Medici.,False
Who commissioned Benedetto Varchi to write a history of Florence?,Francesco Maria del Monte.,False
Who commissioned Benedetto Varchi to write a history of Florence?,Duke Ernest of Austria.,False
Who commissioned Benedetto Varchi to write a history of Florence?,Gian Battista Montefeltro.,False
When was Varchi's Storia fiorentina first published in Florence?,1721,True
When was Varchi's Storia fiorentina first published in Florence?,1739.,False
When was Varchi's Storia fiorentina first published in Florence?,1756.,False
When was Varchi's Storia fiorentina first published in Florence?,1727.,False
